,startlatitude,startlongitude,trip_count
204,36.1623,-86.77567,1
205,36.1429,-86.82674,1
206,36.1624,-86.7784,1
207,36.1624,-86.7742,1
208,36.16249,-86.77573,1
209,36.16249,-86.77438,1
210,36.1423,-86.8153,1
211,36.16255,-86.77437,1
212,36.1626,-86.7777,1
213,36.1408,-86.8089,1
214,36.13973,-86.80031,1
215,36.16267,-86.77606,1
216,36.16268,-86.78137,1
217,36.16277,-86.77597,1
218,36.1381,-86.8008,1
219,36.1628,-86.77621,1
220,36.13786,-86.78391,1
221,36.13607,-86.80092,1
222,36.16293,-86.77652,1
223,36.16298,-86.77622,1
224,36.16309,-86.78323,1
225,36.1631,-86.7692,1
226,36.16311,-86.78322,1
227,36.1356,-86.8017,1
228,36.1632,-86.7833,1
229,36.12749,-86.78924,1
230,36.163249,-86.7838642,1
231,36.1633,-86.7834,1
232,36.1633,-86.78,1
233,36.1634,-86.7835,1
234,36.16342,-86.78349,1
235,36.21951,-86.75856,1
236,36.16349,-86.78502,1
237,36.1635,-86.7833,1
238,36.16359,-86.78294,1
239,36.1636,-86.7803,1
240,36.1637,-86.7766,1
241,36.1638,-86.8012,1
242,36.1638,-86.7803,1
243,36.1639,-86.7769,1
244,36.1639,-86.7695,1
245,36.164,-86.7768,1
246,36.16402,-86.76947,1
247,36.1642,-86.7806,1
248,36.1642,-86.7785,1
249,36.1643,-86.7773,1
250,36.1645,-86.7757,1
251,36.16451,-86.79561,1
252,36.1652,-86.78,1
253,36.16523,-86.7797,1
254,36.1653,-86.7576,1
255,36.1655,-86.7816,1
256,36.1656,-86.7803,1
257,36.1656,-86.7782,1
258,36.1658,-86.7802,1
259,36.1658,-86.7779,1
260,36.16593,-86.7803,1
261,36.12648,-86.7784,1
262,36.1664,-86.7814,1
263,36.12647,-86.77842,1
264,36.16714406761914,-86.77721455701327,1
265,36.1672713,-86.7802906,1
266,36.16732,-86.76387,1
267,36.16818,-86.78251,1
268,36.16824,-86.78256,1
269,36.1683,-86.7777,1
270,36.1683,-86.7776,1
271,36.16852,-86.78204,1
272,36.16874,-86.78312,1
273,36.16944,-86.78604,1
274,36.16968,-86.75625,1
275,36.16969,-86.75626,1
276,36.1697,-86.75625,1
277,36.1705,-86.7835,1
278,36.17083,-86.78289,1
279,36.17099,-86.74279,1
280,36.171,-86.7823,1
281,36.171,-86.7822,1
282,36.1731,-86.7649,1
283,36.1751485,-86.7895281,1
284,36.17547,-86.79415,1
285,36.17607,-86.78504,1
286,36.1763,-86.7561,1
287,36.1765,-86.7562,1
288,36.1767,-86.7853,1
289,36.17695,-86.74986,1
290,36.1774,-86.74979,1
291,36.17751,-86.78482,1
