,startlatitude,startlongitude,companyname,trip_count
160,36.15878362211972,-86.781897023401,SPIN,1
161,36.1588,-86.7793,Bird,1
162,36.15888,-86.78173,Lyft,1
163,36.1589,-86.7744,Bird,1
164,36.1589505,-86.7764402,SPIN,1
165,36.15938775781642,-86.77662658901876,SPIN,1
166,36.14492729219805,-86.78487126048175,SPIN,1
167,36.15989,-86.77515,Lyft,1
168,36.15992,-86.77502,Lyft,1
169,36.1601,-86.7787,Bird,1
170,36.1601,-86.7767,Bird,1
171,36.1601,-86.77509,Lyft,1
172,36.16014,-86.77723,Lyft,1
173,36.16022,-86.77644,Lyft,1
174,36.1603,-86.7752,Bird,1
175,36.14479895522732,-86.78455166901776,SPIN,1
176,36.16036,-86.77504,Lyft,1
177,36.1604,-86.7751,Bird,1
178,36.16041,-86.77511,Lyft,1
179,36.14463547248034,-86.78473320797717,SPIN,1
180,36.1442,-86.81395,Lyft,1
181,36.16079,-86.77696,Lyft,1
182,36.1609,-86.7736,Bird,1
183,36.16097,-86.77554,Lyft,1
184,36.14402,-86.81719,Lyft,1
185,36.16108,-86.77681,Lyft,1
186,36.16111,-86.77716,Lyft,1
187,36.16131,-86.77749,Lyft,1
188,36.1614,-86.7775,Bird,1
189,36.16154,-86.78365,Lyft,1
190,36.1616,-86.7761,Bird,1
191,36.16163,-86.77893,Lyft,1
192,36.16164,-86.77689,Lyft,1
193,36.16165,-86.78465,Lyft,1
194,36.16169,-86.77892,Lyft,1
195,36.1617,-86.7739,Bird,1
196,36.14306,-86.78946,Lyft,1
197,36.19239,-86.78872,Lyft,1
198,36.14305,-86.78947,Lyft,1
199,36.16205,-86.77639,Lyft,1
200,36.16209,-86.77823,Lyft,1
201,36.1622,-86.7763,Bird,1
202,36.16221,-86.77607,Lyft,1
203,36.16224697578664,-86.79028094709116,SPIN,1
204,36.1623,-86.77567,Lyft,1
205,36.1429,-86.82674,Lyft,1
206,36.1624,-86.7784,Bird,1
207,36.1624,-86.7742,Bird,1
208,36.16249,-86.77573,Lyft,1
209,36.16249,-86.77438,Lyft,1
210,36.1423,-86.8153,Bird,1
211,36.16255,-86.77437,Lyft,1
212,36.1626,-86.7777,Bird,1
213,36.1408,-86.8089,Bird,1
214,36.13973,-86.80031,Lyft,1
215,36.16267,-86.77606,Lyft,1
216,36.16268,-86.78137,Lyft,1
217,36.16277,-86.77597,Lyft,1
218,36.1381,-86.8008,Bird,1
219,36.1628,-86.77621,Lyft,1
220,36.13786,-86.78391,Lyft,1
221,36.13607,-86.80092,Lyft,1
222,36.16293,-86.77652,Lyft,1
223,36.16298,-86.77622,Lyft,1
224,36.16309,-86.78323,Lyft,1
225,36.1631,-86.7692,Bird,1
226,36.16311,-86.78322,Lyft,1
227,36.1356,-86.8017,Bird,1
228,36.1632,-86.7833,Bird,1
229,36.12749,-86.78924,Lyft,1
230,36.163249,-86.7838642,SPIN,1
231,36.1633,-86.7834,Bird,1
232,36.1633,-86.78,Bird,1
233,36.1634,-86.7835,Bird,1
234,36.16342,-86.78349,Lyft,1
235,36.21951,-86.75856,Lyft,1
236,36.16349,-86.78502,Lyft,1
237,36.1635,-86.7833,Bird,1
238,36.16359,-86.78294,Lyft,1
239,36.1636,-86.7803,Bird,1
240,36.1637,-86.7766,Bird,1
241,36.1638,-86.8012,Bird,1
242,36.1638,-86.7803,Bird,1
243,36.1639,-86.7769,Bird,1
244,36.1639,-86.7695,Bird,1
245,36.164,-86.7768,Bird,1
246,36.16402,-86.76947,Lyft,1
247,36.1642,-86.7806,Bird,1
248,36.1642,-86.7785,Bird,1
249,36.1643,-86.7773,Bird,1
250,36.1645,-86.7757,Bird,1
251,36.16451,-86.79561,Lyft,1
252,36.1652,-86.78,Bird,1
253,36.16523,-86.7797,Lyft,1
254,36.1653,-86.7576,Bird,1
255,36.1655,-86.7816,Bird,1
256,36.1656,-86.7803,Bird,1
257,36.1656,-86.7782,Bird,1
258,36.1658,-86.7802,Bird,1
259,36.1658,-86.7779,Bird,1
260,36.16593,-86.7803,Lyft,1
261,36.12648,-86.7784,Lyft,1
262,36.1664,-86.7814,Bird,1
263,36.12647,-86.77842,Lyft,1
264,36.16714406761914,-86.77721455701327,SPIN,1
265,36.1672713,-86.7802906,SPIN,1
266,36.16732,-86.76387,Lyft,1
267,36.16818,-86.78251,Lyft,1
268,36.16824,-86.78256,Lyft,1
269,36.1683,-86.7777,Bird,1
270,36.1683,-86.7776,Bird,1
271,36.16852,-86.78204,Lyft,1
272,36.16874,-86.78312,Lyft,1
273,36.16944,-86.78604,Lyft,1
274,36.16968,-86.75625,Lyft,1
275,36.16969,-86.75626,Lyft,1
276,36.1697,-86.75625,Lyft,1
277,36.1705,-86.7835,Bird,1
278,36.17083,-86.78289,Lyft,1
279,36.17099,-86.74279,Lyft,1
280,36.171,-86.7823,Bird,1
281,36.171,-86.7822,Bird,1
282,36.1731,-86.7649,Bird,1
283,36.1751485,-86.7895281,SPIN,1
284,36.17547,-86.79415,Lyft,1
285,36.17607,-86.78504,Lyft,1
286,36.1763,-86.7561,Bird,1
287,36.1765,-86.7562,Bird,1
288,36.1767,-86.7853,Bird,1
289,36.17695,-86.74986,Lyft,1
290,36.1774,-86.74979,Lyft,1
291,36.17751,-86.78482,Lyft,1
292,36.1783,-86.7902,Bird,1
293,36.180916,-86.793268,Lime,1
294,36.181055,-86.793525,Lime,1
295,36.12399,-86.78984,Lyft,1
296,36.14968,-86.80617,Lyft,1
297,36.14974,-86.79689,Lyft,1
298,36.14972,-86.80607,Lyft,1
299,36.14978,-86.76353,Lyft,1
300,36.14966,-86.80611,Lyft,1
301,36.1499,-86.8146,Bird,1
302,36.1499,-86.8145,Bird,1
303,36.14992,-86.81367,Lyft,1
304,36.1496,-86.7783,Bird,1
305,36.15,-86.8072,Bird,1
306,36.15004,-86.76756,Lyft,1
