,pubtimestamp,companyname,triprecordnum,sumdid,tripduration,tripdistance,startdate,starttime,enddate,endtime,startlatitude,startlongitude,endlatitude,endlongitude,triproute,create_dt
10,2019-05-17 15:16:55.360,Lime,LIM421,PoweredKF47YZWLD3URV,8.25,656.2344,2019-05-16,23:56:33,2019-05-17,00:04:48,36.162895,-86.776895,36.179469,-86.787598,"[(36.16312, -86.77671), (36.16485, -86.77627), (36.165420000000005, -86.77601), (36.16843000000001, -86.7775), (36.170440000000006, -86.78041), (36.17399, -86.7827), (36.17746, -86.78496000000001), (36.17936, -86.78740000000002)]",2019-05-18 12:34:41.460
11,2019-05-17 15:16:55.363,Lime,LIM423,Powered4ZPLZX2G755LW,6.2666666667,104.2416,2019-05-16,23:57:31,2019-05-17,00:03:47,36.1628,-86.780646,36.160844,-86.778637,"[(36.16296, -86.78063), (36.16307, -86.78038000000001), (36.16316, -86.78016000000001), (36.162589999999994, -86.77962000000001), (36.16163999999999, -86.77892000000001), (36.16083999999999, -86.77864000000001)]",2019-05-18 12:34:41.517
12,2019-05-17 15:16:55.363,Lime,LIM424,PoweredOKECDCNGRBE7I,5.7833333333,91.7448,2019-05-16,23:57:44,2019-05-17,00:03:31,36.162853,-86.780569,36.161379,-86.77887,"[(36.16306, -86.7805), (36.16305, -86.78037), (36.16335, -86.78002000000001), (36.16216, -86.77949000000001), (36.16138, -86.77887000000001)]",2019-05-18 12:34:41.547
13,2019-05-17 15:16:55.363,Lime,LIM426,Powered22FQFFGS7MJ2H,3.85,72.5424,2019-05-16,23:59:54,2019-05-17,00:03:45,36.163165,-86.780323,36.161294,-86.778906,"[(36.16325, -86.77999), (36.162639999999996, -86.77963), (36.161289999999994, -86.77891)]",2019-05-18 12:34:41.607
14,2019-05-16 23:54:15.793,Bird,BRD2475,PoweredCK6QD,9.0,1312.336,2019-05-16,23:47:12.126666,2019-05-16,23:56:04.723333,36.1512,-86.7843,36.1542,-86.7852,"[(36.151222, -86.784459), (36.1526, -86.783821), (36.153095, -86.783666), (36.153004, -86.783824), (36.153245, -86.784065), (36.152973, -86.784037), (36.153187, -86.784151), (36.153831, -86.784804), (36.153873, -86.78408), (36.153924, -86.78394), (36.153968, -86.784429), (36.154278, -86.785131), (36.155988, -86.785491)]",2019-05-17 12:26:58.907
15,2019-05-16 23:54:15.793,Bird,BRD2478,PoweredA34AY,11.0,2621.39116,2019-05-16,23:43:45.746666,2019-05-16,23:55:14.683333,36.1683,-86.7776,36.1637,-86.7774,"[(36.168306, -86.77745), (36.168452, -86.777597), (36.168379, -86.777497), (36.168662, -86.777652), (36.168333, -86.777429), (36.168166, -86.777443), (36.166285, -86.776438), (36.166105, -86.776307), (36.165294, -86.77586), (36.164868, -86.776329), (36.164534, -86.777122), (36.164275, -86.777694), (36.164182, -86.777724), (36.163715, -86.777382)]",2019-05-17 12:26:59.007
16,2019-05-16 23:54:15.793,Bird,BRD2473,PoweredYE6RS,6.0,3280.84,2019-05-16,23:48:51.296666,2019-05-16,23:54:49.260000,36.1408,-86.8089,36.1397,-86.8007,"[(36.141047, -86.809079), (36.141054, -86.808533), (36.1397, -86.800636), (36.14087, -86.794533)]",2019-05-17 12:26:58.843
17,2019-05-17 12:41:42.690,Lime,LIM337,Powered4ZPLZX2G755LW,6.2666666667,104.2416,2019-05-16,23:57:31,2019-05-17,00:03:47,36.1628,-86.780646,36.160844,-86.778637,"[(36.16296, -86.78063), (36.16307, -86.78038000000001), (36.16316, -86.78016000000001), (36.162589999999994, -86.77962000000001), (36.16163999999999, -86.77892000000001), (36.16083999999999, -86.77864000000001)]",2019-05-18 12:12:22.660
18,2019-05-16 23:32:59.243,Lyft,LFT1659,Powered563753,2.6496666667,790.68244,2019-05-16,23:30:20.010000,2019-05-16,23:32:58.990000,36.16451,-86.79561,36.16409,-86.79656,"[(36.16451, -86.79561), (36.16446, -86.79569), (36.16459, -86.79562), (36.16468, -86.79542), (36.16477, -86.79513), (36.16482, -86.79505), (36.16472, -86.79531), (36.16471, -86.79539), (36.16463, -86.79555), (36.16457, -86.79569), (36.1645, -86.79582), (36.16441, -86.79591), (36.16433, -86.79601), (36.16427, -86.79611), (36.16418, -86.79628), (36.16411, -86.79645), (36.16408, -86.79651), (36.16409, -86.79656)]",2019-05-17 17:14:11.243
19,2019-05-16 23:31:21.470,Lyft,LFT1651,Powered620431,0.2386333333,0.0,2019-05-16,23:31:07.036666,2019-05-16,23:31:21.353333,36.14848,-86.81063,36.14849,-86.81062,"[(36.14848, -86.81063), (36.14849, -86.81062)]",2019-05-17 17:14:10.987
