,sumdid,company,lat,lon,geometry,index_right,zip,objectid,po_name,shape_stlength,shape_starea
2587,Powered4eb494d7-bf2b-54db-b942-5fa9e6a2e77b,Jump,36.1024,-86.8191,POINT (-86.8191 36.1024),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2588,Powered4EB4PX33TJG5C,Lime,36.121539,-86.817906,POINT (-86.817906 36.121539),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2590,Powered4ee2a364-e728-58f6-b9d1-ec569eebaf52,Jump,36.1191,-86.8168,POINT (-86.8168 36.1191),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2593,Powered4EHUL,Bird,36.116867,-86.810694,POINT (-86.810694 36.116867),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2595,Powered4EY7FIDYJF4GS,Lime,36.078655,-86.812633,POINT (-86.812633 36.078655),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2596,Powered4EYMH,Bird,36.116681,-86.824577,POINT (-86.824577 36.116681),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2600,Powered4f9a472a-a970-5611-95c3-0a114b4a39da,Jump,36.1193,-86.8201,POINT (-86.8201 36.1193),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2601,Powered4F9XY,Bird,36.124673,-86.816082,POINT (-86.816082 36.124673),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2603,Powered4fc346dd-ac93-5298-a894-80cdaec2b16c,Jump,36.1194,-86.8152,POINT (-86.8152 36.1194),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2604,Powered4fc5e44d-2b47-5864-a7d4-286fbc97e85d,Jump,36.1191,-86.8169,POINT (-86.8169 36.1191),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2605,Powered4FCVKYQ3DTH7H,Lime,36.120561,-86.834777,POINT (-86.834777 36.120561),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2606,Powered4fdd6349-1848-513a-979c-48ecde9c22c3,Jump,36.1197,-86.8041,POINT (-86.8041 36.1197),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2608,Powered4FWP3,Bird,36.085898,-86.821276,POINT (-86.821276 36.085898),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2614,Powered4HPSG,Bird,36.118419,-86.820687,POINT (-86.820687 36.118419),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2618,Powered4ICDD,Bird,36.122607,-86.832314,POINT (-86.832314 36.122607),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2620,Powered4IJFP,Bird,36.122596,-86.809071,POINT (-86.809071 36.122596),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2622,Powered4IRGILRSWBMZC,Lime,36.111167,-86.815655,POINT (-86.815655 36.111167),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2626,Powered4J68H,Bird,36.115113,-86.818457,POINT (-86.818457 36.115113),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2628,Powered4JDA9,Bird,36.124109,-86.83004,POINT (-86.83004 36.124109),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2630,Powered4JJJC,Bird,36.118699,-86.825924,POINT (-86.825924 36.118699),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2632,Powered4JS2EWZUJOSV4,Lime,36.122179,-86.81428,POINT (-86.81428 36.122179),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2637,Powered4KLRNV2LOEDK5,Lime,36.118002,-86.811385,POINT (-86.811385 36.118002),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2639,Powered4KWEF,Bird,36.12334,-86.818873,POINT (-86.818873 36.12334),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2642,Powered4L229,Bird,36.113877,-86.81563,POINT (-86.81563 36.113877),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2643,Powered4L2CI,Bird,36.116959,-86.824483,POINT (-86.824483 36.116959),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
